Cat-1,Cat-2,Cat-3,Cat-4,Cat-5
Decentralized Hardware,Layer 1,Storage,(blank),(blank)
Decentralized Hardware,Layer 1,Processing & Rendering,(blank),(blank)
Decentralized Hardware,Layer 1,IOT,(blank),(blank)
Decentralized Hardware,Layer 1,Sovereign Currency,(blank),(blank)
Decentralized Hardware,Layer 1,General Computing,(blank),(blank)
Decentralized Hardware,Layer 2,Rollup,(blank),(blank)
Decentralized Hardware,Layer 2,Bridge,(blank),(blank)
DeSci,Infrastructure,(Blank),(blank),(blank)
Other,(Blank),(Blank),(blank),(blank)
CeFi,Funds,Closed Ended,SPV,(blank)
CeFi,Funds,Closed Ended,Venture Fund,Early Stage
CeFi,Funds,Closed Ended,Venture Fund,Stage Agnostic
CeFi,Funds,Closed Ended,Venture Fund,Late Stage
CeFi,Funds,Open Ended,Directional,Discretionary
CeFi,Funds,Open Ended,Directional,Systematic
CeFi,Funds,Open Ended,Risk Neutral,Market Making
CeFi,Funds,Open Ended,Risk Neutral,Yield Farming
CeFi,Funds,Open Ended,Risk Neutral,Arbitrage
CeFi,Exchanges,Spot,(blank),(blank)
CeFi,Exchanges,Spot & Derivatives,(blank),(blank)
CeFi,Exchanges,Derivatives,(blank),(blank)
CeFi,Exchanges,Broker,(blank),(blank)
CeFi,Lending (Money Markets),OTC,(blank),(blank)
CeFi,Lending (Money Markets),Retail,(blank),(blank)
CeFi,Asset Management Solutions,Custodian,(blank),(blank)
CeFi,Asset Management Solutions,Staking,(blank),(blank)
CeFi,Asset Management Solutions,Indices,(blank),(blank)
DeFi,Derivatives,Structured Products,(blank),(blank)
DeFi,Derivatives,Futures & Perps,(blank),(blank)
DeFi,Derivatives,Predictions & Betting Markets,(blank),(blank)
DeFi,Derivatives,Options,(blank),(blank)
DeFi,Derivatives,Indices,(blank),(blank)
DeFi,Exchange,AMM,CFMM,(blank)
DeFi,Exchange,AMM,Other,(blank)
DeFi,Exchange,Other,(blank),(blank)
DeFi,Exchange,Orderbook,Marketplace,(blank)
DeFi,Exchange,Orderbook,CLOB,(blank)
DeFi,Currency,Payment Infrastructure,(blank),(blank)
DeFi,Currency,Commodity Currency,Privacy,(blank)
DeFi,Currency,Commodity Currency,Other,(blank)
DeFi,Currency,Stablecoin,Undercollateralized,Hybrid
DeFi,Currency,Stablecoin,Undercollateralized,Algo
DeFi,Currency,Overcollateralized,Trusted,(blank)
DeFi,Currency,Overcollateralized,Protocolized,(blank)
DeFi,Lending (Money Markets),Overcollateralized,Permisionless,(blank)
DeFi,Lending (Money Markets),Overcollateralized,Permissioned,(blank)
DeFi,Lending (Money Markets),Undercollateralized,Permisionless,(blank)
DeFi,Lending (Money Markets),Undercollateralized,Permissioned,(blank)
DeFi,Asset Management,Strategies,Risk Underwriting,(blank)
DeFi,Asset Management,Strategies,Yield Optimizers,(blank)
DeFi,Asset Management,Strategies,Liquidity Provision,(blank)
DeFi,Asset Management,Strategies,MEV,(blank)
DeFi,Asset Management,Strategies,Venture Fund,(blank)
DeFi,Asset Management,Custody,Staking,(blank)
DeFi,Asset Management,Custody,Wallets,(blank)
Middleware,Cryptography,Hardware-Based,(blank),(blank)
Middleware,Cryptography,Software-Based,(blank),(blank)
Middleware,Messaging,(blank),(blank),(blank)
Middleware,Data,Real World Data,(blank),(blank)
Middleware,Data,On Chain Data,(blank),(blank)
Culture,Gaming,Infrastructure,(blank),(blank)
Culture,Gaming,PVP Gaming,(blank),(blank)
Culture,Gaming,PVE Gaming,(blank),(blank)
Culture,Gaming,Studio,(blank),(blank)
Culture,Art & Collectibles,1-of-1,(blank),(blank)
Culture,Art & Collectibles,PFPs,(blank),(blank)
Culture,Art & Collectibles,Generative Art,(blank),(blank)
Culture,Music,Streaming,(blank),(blank)
Culture,Music,Decentralized Labels,(blank),(blank)
Culture,Fashion & Wearables,Physical,(blank),(blank)
Culture,Fashion & Wearables,Digital,(blank),(blank)
Culture,Social Media,(blank),(blank),(blank)
